209;Merzdorf;1;279
210;Hirschfeld;1;279
211;Wainsdorf;1;279
212;Prösen;1;279
213;Saathain;1;279
214;Gröden;1;279
215;Großthiemig;1;279
216;Hohenleipisch;1;280
217;Dreska;1;280
218;Frankenhain;1;281
219;Körba;1;281
220;Wehrhain;1;281
221;Hillmersdorf;1;281
222;Proßmarke;1;281
223;Lebusa;1;281
224;Malitschkendorf;1;281
225;Naundorf;1;281
226;Hohenbucko;1;281
227;Kolochau;1;281
228;Jagsal;1;281
229;Ölsig;1;281
230;Schöna-Kolpien;1;281
231;Freileben;1;281
232;Schlieben;1;281
233;Stechau;1;281
234;Uebigau-Wahrenbrück;1;282
235;Schönefeld;1;772
236;Potsdam;1;857
237;Potsdam;1;858
238;Potsdam;1;859
239;Potsdam;1;860
240;Potsdam;1;861
241;Uetz-Paaren;1;862
242;Töplitz;1;862
243;Fahrland;1;862
244;Marquardt;1;862
245;Seeburg;1;862
246;Groß Glienicke;1;862
247;Golm;1;862
248;Satzkorn;1;862
249;Neu Fahrland;1;862
250;Potsdam;1;863
251;Potsdam;1;864
252;Potsdam;1;865
253;Teltow;1;866
254;Stahnsdorf;1;867
255;Philippsthal;1;867
256;Fahlhorst;1;867
257;Kleinmachnow;1;867
258;Nudow;1;867
259;Werder (Havel);1;868
260;Schwielowsee;1;868
261;Kloster Lehnin;1;868
262;Beelitz;1;869
263;Stücken;1;869
264;Schwielowsee;1;870
265;Derwitz;1;871
266;Groß Kreutz;1;871
267;Bochow;1;871
268;Deetz;1;871
269;Krielow;1;871
270;Schmergow;1;871
271;Wildenbruch;1;872
272;Tremsdorf;1;872
273;Fresdorf;1;872
274;Michendorf;1;872
275;Saarmund;1;872
276;Seddiner See;1;873
277;Wilhelmshorst;1;874
278;Langerwisch;1;874
279;Bergholz-Rehbrücke;1;875
280;Falkensee;1;876
281;Schönwalde;1;877
282;Dallgow-Döberitz;1;878
283;Elstal;1;879
284;Bergerdamm;1;880
285;Paaren im Glien;1;880
286;Grünefeld;1;880
